block_id,HARPNUM,start,end,n_targets,n_positive
2025_HARP13299_20250602_0236_20250603_0100,13299,2025-06-02 02:36:00,2025-06-03 01:00:00,15,12
2025_HARP13424_20250628_1936_20250629_1836,13424,2025-06-28 19:36:00,2025-06-29 18:36:00,15,0
