year,channel_index,channel,n_pixels,raw_mean,raw_std,raw_q01,raw_q50,raw_q99,raw_zero_fraction,transformed_mean,transformed_std,transformed_q01,transformed_q50,transformed_q99
2025,0,aia94,819200,0.4129992227396103,0.1412647556827034,0.11902195401489735,0.4045937955379486,0.7785964614152909,0.0031396484375,1.002879115494043,0.8901204502695592,-1.1941092516651721,1.0354024262864814,2.9156450501766518
2026,0,aia94,819200,0.4181382507136188,0.13923169222027038,0.12780420064926148,0.4103785306215286,0.7820922005176545,0.002694091796875,1.0381937818960147,0.8715468010863288,-1.1133072559527413,1.072090624994456,2.9295526815948323
2025,1,aia131,819200,0.41916342179532806,0.1397391216027239,0.12628230839967727,0.40611374378204346,0.787362358570099,0.003896484375,0.5340064957707701,0.9930538744899556,-1.8734674243572214,0.5181148008414882,2.7805139119928377
2026,1,aia131,819200,0.4052310089571038,0.14337842070996645,0.07488137915730476,0.3915094584226608,0.7856064504384995,0.0060302734375,0.42786431721570223,1.0361889657710641,-2.3785786379390235,0.41040515185863424,2.772064718731563
2025,2,aia171,819200,0.37766587401147317,0.15973756096264585,0.0852424704283476,0.3598734587430954,0.8085517722368242,0.0024853515625,-0.03931519080893088,1.0246701117166992,-2.1684709926393437,-0.07747879894061371,2.352399958906283
2026,2,aia171,819200,0.37677598413859514,0.16209439755971455,0.0872046186029911,0.357389897108078,0.8191302901506426,0.002681884765625,-0.04747656873782659,1.0365452351587408,-2.1521748553176834,-0.0942659788783344,2.397740858016388
2025,3,aia193,819200,0.39825884299725783,0.1724138288111055,0.07483878709375859,0.38692566752433777,0.822680385708809,0.00241943359375,0.12014115414947422,1.0008199633254673,-1.9999200116294313,0.13621481914370775,2.2439762759140307
2026,3,aia193,819200,0.39018557934839565,0.17457609277478714,0.07467816554009914,0.3745528757572174,0.8273023003339768,0.002086181640625,0.07008988272121193,1.01486255915713,-2.001129909441338,0.061853572131560945,2.26191943410842
2025,4,aia211,819200,0.4134356355376459,0.17695988259624526,0.08512736797332764,0.4056627154350281,0.8415008091926575,0.00247314453125,0.2101610300857099,1.0144810694734194,-1.914737807136934,0.25230712604235017,2.317306956740878
2026,4,aia211,819200,0.4043615179092806,0.1826045510645753,0.08536902397871017,0.39012670516967773,0.844850572347641,0.00220947265625,0.15147046291024097,1.0470648896109664,-1.9129251512302863,0.1606743482672653,2.3300693484476054
2025,5,aia335,819200,0.38522626107328295,0.1720503058996263,0.0,0.372958779335022,0.8263397705554962,0.015703125,0.08170508524256226,1.1203371306868952,-2.8332128071931773,0.09689197861510201,2.5095229129269514
2026,5,aia335,819200,0.3606296885992402,0.17962466896960602,0.0,0.34088923037052155,0.8244410812854768,0.02088623046875,-0.09187493118823817,1.1837651333543457,-2.8332128071931773,-0.12135489622574808,2.5015320918903203
