block_id,status,n_targets,n_pending_at_start,n_saved_this_run,elapsed_minutes,message
2025_HARP12511_20250101_0100_20250101_0412,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12506_20250101_0836_20250102_0724,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12511_20250101_2024_20250101_2024,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12506_20250102_0900_20250103_0724,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12511_20250102_1248_20250103_1148,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12506_20250103_0900_20250104_0724,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250103_2036_20250104_0612,already_complete,7,,0,0.0,all_samples_already_in_gcp
2025_HARP12535_20250104_0800_20250105_0624,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250104_0924_20250105_0748,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12540_20250104_1512_20250105_1336,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12535_20250105_0800_20250106_0624,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250105_0924_20250106_0748,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12532_20250106_0000_20250106_1736,already_complete,12,,0,0.0,all_samples_already_in_gcp
2025_HARP12535_20250106_0800_20250106_1736,already_complete,7,,0,0.0,all_samples_already_in_gcp
2025_HARP12540_20250106_1336_20250107_1200,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250106_2036_20250107_1724,already_complete,14,,0,0.0,all_samples_already_in_gcp
2025_HARP12535_20250106_2048_20250107_1924,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12540_20250107_1336_20250107_2324,already_complete,7,,0,0.0,all_samples_already_in_gcp
2025_HARP12532_20250107_2100_20250108_0012,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250107_2300_20250108_0036,already_complete,2,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250108_0800_20250108_1248,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12535_20250108_0812_20250108_1300,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12546_20250108_0900_20250108_1212,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12546_20250108_1912_20250109_1736,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250108_2024_20250109_0424,already_complete,6,,0,0.0,all_samples_already_in_gcp
2025_HARP12546_20250109_1912_20250110_1624,already_complete,14,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250109_2200_20250110_0424,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12567_20250110_1612_20250111_0500,already_complete,9,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250111_1000_20250111_1448,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12546_20250111_1024_20250111_1512,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12567_20250111_2212_20250112_0612,already_complete,6,,0,0.0,all_samples_already_in_gcp
2025_HARP12567_20250112_1124_20250113_0636,already_complete,13,,0,0.0,all_samples_already_in_gcp
2025_HARP12572_20250112_1936_20250113_0648,already_complete,8,,0,0.0,all_samples_already_in_gcp
2025_HARP12572_20250113_1036_20250114_0548,already_complete,13,,0,0.0,all_samples_already_in_gcp
2025_HARP12576_20250114_0324_20250114_0636,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12567_20250114_0924_20250115_0300,already_complete,12,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250114_1000_20250114_1000,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12572_20250114_1112_20250115_0624,completed,13,13.0,13,11.284,success
2025_HARP12576_20250115_0400_20250115_0536,completed,2,2.0,2,7.31,success
2025_HARP12598_20250115_1000_20250115_1312,completed,3,3.0,3,7.732,success
2025_HARP12598_20250115_2100_20250116_0636,completed,7,7.0,7,10.54,success
2025_HARP12597_20250115_2112_20250116_0512,completed,6,6.0,6,8.484,success
2025_HARP12572_20250116_0924_20250116_1548,completed,5,5.0,5,9.217,success
2025_HARP12611_20250116_1000_20250116_1624,completed,5,5.0,5,7.689,success
2025_HARP12598_20250116_1048_20250116_1848,completed,6,6.0,6,9.495,success
2025_HARP12572_20250116_1900_20250116_1900,completed,1,1.0,1,7.527,success
2025_HARP12611_20250116_1936_20250117_0524,completed,7,7.0,7,16.482,success
2025_HARP12572_20250116_2224_20250117_0000,completed,2,2.0,2,7.819,success
2025_HARP12576_20250117_1000_20250117_1624,completed,5,5.0,5,7.587,success
2025_HARP12598_20250117_1036_20250118_0548,completed,13,13.0,13,11.818,success
2025_HARP12492_20250101_0100_20250101_2348,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12519_20250101_0124_20250101_0612,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12511_20250101_1024_20250101_1648,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12492_20250102_0124_20250102_2348,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12511_20250102_0912_20250102_0912,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12492_20250103_0124_20250103_0300,already_complete,2,,0,0.0,all_samples_already_in_gcp
2025_HARP12511_20250103_1324_20250104_1148,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12541_20250104_0712_20250105_0536,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12506_20250104_0900_20250105_0724,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12511_20250104_1324_20250104_1324,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12541_20250105_0712_20250106_0536,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12506_20250105_0900_20250105_2012,already_complete,8,,0,0.0,all_samples_already_in_gcp
2025_HARP12540_20250105_1512_20250106_1024,already_complete,13,,0,0.0,all_samples_already_in_gcp
2025_HARP12541_20250106_0712_20250106_1024,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250106_0924_20250106_1724,already_complete,6,,0,0.0,all_samples_already_in_gcp
2025_HARP12541_20250106_1336_20250106_2000,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12532_20250106_2048_20250107_1924,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12546_20250107_0224_20250107_2324,already_complete,14,,0,0.0,all_samples_already_in_gcp
2025_HARP12515_20250107_2048_20250108_0000,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12535_20250107_2100_20250108_0012,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250108_0700_20250108_1324,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12532_20250108_0812_20250108_1300,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12540_20250108_0900_20250108_1212,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12540_20250108_1912_20250109_0800,already_complete,9,,0,0.0,all_samples_already_in_gcp
2025_HARP12532_20250108_2000_20250109_1824,already_complete,15,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250109_0736_20250109_1848,already_complete,8,,0,0.0,all_samples_already_in_gcp
2025_HARP12532_20250109_2000_20250110_0912,already_complete,9,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250110_0800_20250111_0448,already_complete,14,,0,0.0,all_samples_already_in_gcp
2025_HARP12546_20250110_1936_20250111_0648,already_complete,8,,0,0.0,all_samples_already_in_gcp
2025_HARP12567_20250111_1012_20250111_1500,already_complete,4,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250111_2200_20250112_0424,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12537_20250112_1112_20250112_1112,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12572_20250112_1312_20250112_1624,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12567_20250113_1024_20250114_0536,already_complete,13,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250114_0124_20250114_0436,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12598_20250114_0536_20250114_0536,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12598_20250114_0924_20250115_0612,already_complete,14,,0,0.0,all_samples_already_in_gcp
2025_HARP12576_20250114_1024_20250115_0048,already_complete,10,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250114_1412_20250114_1412,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12576_20250115_0924_20250115_1236,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12572_20250115_1012_20250115_1324,already_complete,3,,0,0.0,all_samples_already_in_gcp
2025_HARP12572_20250115_2112_20250116_0512,already_complete,6,,0,0.0,all_samples_already_in_gcp
2025_HARP12576_20250115_2200_20250116_0424,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250116_0924_20250116_1548,already_complete,5,,0,0.0,all_samples_already_in_gcp
2025_HARP12576_20250116_1012_20250117_0536,already_complete,13,,0,0.0,all_samples_already_in_gcp
2025_HARP12579_20250116_1836_20250117_0424,already_complete,7,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250116_1900_20250116_1900,already_complete,1,,0,0.0,all_samples_already_in_gcp
2025_HARP12598_20250116_2212_20250117_0612,already_complete,6,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250116_2224_20250117_0624,already_complete,6,,0,0.0,all_samples_already_in_gcp
2025_HARP12579_20250117_1024_20250118_0536,already_complete,13,,0,0.0,all_samples_already_in_gcp
2025_HARP12597_20250117_1048_20250117_1536,completed,4,4.0,4,1.037,success
2025_HARP12576_20250117_1936_20250118_0512,completed,7,7.0,7,9.469,success
2025_HARP12579_20250118_1000_20250118_1624,completed,5,5.0,5,9.463,success
2025_HARP12579_20250118_1936_20250119_0512,completed,7,7.0,7,10.267,success
2025_HARP12589_20250119_1124_20250120_0500,completed,12,12.0,1,11.99,11 sample errors retained for retry
2025_HARP12600_20250120_1012_20250121_0536,completed,13,13.0,13,21.773,success
2025_HARP12589_20250120_1100_20250120_1724,completed,5,5.0,0,10.175,5 sample errors retained for retry
2025_HARP12579_20250121_0436_20250121_0612,completed,2,2.0,2,7.927,success
2025_HARP12600_20250121_1136_20250121_1624,completed,4,4.0,4,9.307,success
2025_HARP12623_20250122_0412_20250122_0412,completed,1,1.0,1,6.782,success
2025_HARP12623_20250122_1024_20250123_0624,completed,13,13.0,13,20.176,success
2025_HARP12600_20250122_1936_20250122_2112,completed,2,2.0,0,6.771,2 sample errors retained for retry
2025_HARP12589_20250123_0924_20250123_2224,completed,9,9.0,1,17.184,8 sample errors retained for retry
2025_HARP12623_20250123_1048_20250124_0424,completed,12,12.0,12,11.378,success
2025_HARP12600_20250124_1000_20250124_1624,error,5,,0,,RuntimeError('Downloaded 335 Å segment does not cover all target timestamps within 180 seconds.')
2025_HARP12643_20250124_1124_20250125_0500,error,12,,0,,RuntimeError('Downloaded 335 Å segment does not cover all target timestamps within 180 seconds.')
2025_HARP12643_20250125_0912_20250126_0424,completed,13,13,13,11.168,success
2025_HARP12623_20250126_0912_20250126_1224,completed,3,3,3,7.169,success
2025_HARP12643_20250126_1012_20250127_0524,completed,13,13,13,11.237,success
2025_HARP12660_20250127_0924_20250127_1724,completed,6,6,6,9.041,success
2025_HARP12660_20250127_2036_20250128_0612,completed,7,7,7,9.448,success
2025_HARP12660_20250129_1012_20250130_0424,completed,12,12,12,17.694,success
2025_HARP12657_20250130_1012_20250131_0524,completed,13,13,13,13.469,success
2025_HARP12657_20250131_0924_20250201_0612,completed,14,14,14,14.282,success
2025_HARP12679_20250201_1748_20250202_0548,completed,8,8,8,17.027,success
2025_HARP12667_20250202_0912_20250203_0424,completed,13,13,13,14.391,success
2025_HARP12679_20250202_1112_20250203_0624,completed,13,13,13,13.265,success
2025_HARP12679_20250203_1012_20250204_0524,completed,13,13,13,13.259,success
2025_HARP12701_20250204_0124_20250204_0612,completed,4,4,4,8.123,success
2025_HARP12667_20250204_1024_20250205_0924,completed,15,15,15,23.134,success
2025_HARP12701_20250204_1936_20250205_0512,completed,7,7,7,10.344,success
2025_HARP12679_20250205_0812_20250206_0512,completed,14,14,14,21.056,success
2025_HARP12667_20250205_1100_20250205_1724,completed,5,5,5,10.045,success
2025_HARP12703_20250205_2048_20250206_1912,completed,15,15,15,11.561,success
2025_HARP12701_20250206_2024_20250207_0424,completed,6,6,6,9.821,success
2025_HARP12701_20250207_0736_20250208_0424,completed,14,14,14,11.834,success
