year,channel_index,channel,n_pixels,raw_mean,raw_std,raw_q01,raw_q25,raw_q50,raw_q75,raw_q99,raw_zero_fraction,transformed_mean,transformed_std,transformed_q01,transformed_q50,transformed_q99
2024,0,aia94,819200,0.3120388952746962,0.15317906794960262,0.061824920922517776,0.19426162168383598,0.2921993136405945,0.4090183228254318,0.7317154759168625,7.568359375e-05,0.29274994409643573,1.0654828456630259,-1.734049952500688,0.2589132387041822,2.72394951220012
2025,0,aia94,819200,0.4105311567887334,0.14034416431338984,0.113584837988019,0.31538087874650955,0.40318959951400757,0.49711499363183975,0.776385523080826,0.00325927734375,0.9880271418188399,0.889059252498768,-1.2444496531988416,1.0264511616004839,2.9068220488254592
2024,1,aia131,819200,0.37331564723111305,0.14255066610447117,0.1078517847508192,0.26948677003383636,0.35740000009536743,0.46192551404237747,0.755240935087204,8.056640625e-05,0.1884595888488466,1.0514691232189537,-2.0529866607593696,0.1515733597188067,2.6236022498633353
2025,1,aia131,819200,0.41958627675761034,0.14034740244540456,0.12473487362265587,0.3239506036043167,0.4066861718893051,0.5036029368638992,0.7913158607482911,0.003277587890625,0.5364071665307827,0.9967207910855908,-1.8884623649648344,0.5222991658697178,2.7994843921605432
2024,2,aia171,819200,0.3814743672002267,0.15848234244478307,0.08862567275762558,0.26554272323846817,0.36617395281791687,0.48079508543014526,0.8062448775768282,7.32421875e-05,-0.012937214279818279,1.0163476551733717,-2.1403799425139565,-0.03507855026883648,2.3424540073461873
2025,2,aia171,819200,0.38003229989458065,0.1606130058158182,0.08455543801188468,0.2638310268521309,0.3624860644340515,0.4784945547580719,0.8114856415987015,0.002864990234375,-0.024453127211842424,1.0290836544340338,-2.174179695953418,-0.05986431846792381,2.3650187777159566
2024,3,aia193,819200,0.40299805748817347,0.1692461376953189,0.07975812882184982,0.27838709205389023,0.3899451047182083,0.5157792121171951,0.822322369813919,7.6904296875e-05,0.15115209468675425,0.9769087075590384,-1.9628939966626349,0.15422333969688115,2.2425832793530107
2025,3,aia193,819200,0.39604315033637805,0.17135759737375136,0.07269479274749756,0.2680869475007057,0.3847198933362961,0.5117149949073792,0.8187680727243425,0.00266357421875,0.1079880628953512,0.996812861809284,-2.0160747238860863,0.12302484688833995,2.2287295785570427
2024,4,aia211,819200,0.4075865290388293,0.17033770888870153,0.08570432834327221,0.2804540768265724,0.3956984579563141,0.5222383737564087,0.8269197255373002,7.6904296875e-05,0.18223110835148387,0.9781294194235063,-1.910410294442576,0.19370172633403562,2.2613075203609636
2025,4,aia211,819200,0.41415698234340254,0.17750877645222798,0.08523905359208583,0.2773114740848541,0.40512506663799286,0.5364311039447784,0.8398137837648393,0.0026806640625,0.21386482173710256,1.0163673650670666,-1.913900037017078,0.24915990632483093,2.3108650777351225
2024,5,aia335,819200,0.4488033231982857,0.16705559025940311,0.11205735906958579,0.32781121134757996,0.4381631761789322,0.5629978477954865,0.8477166587114334,0.000628662109375,0.4955093152477355,1.0265480855194071,-1.8804782687356414,0.5184853771799925,2.5985371146390133
2025,5,aia335,819200,0.37988735433997967,0.17180721979127384,0.0,0.2632911577820778,0.3660232126712799,0.4846428781747818,0.8261030197143555,0.01571044921875,0.04649099681508072,1.120666710242796,-2.8332128071931773,0.05030892879567224,2.5085272853432232
