channel_index,channel,variable,ks_statistic,p_value,n_2024,n_2025
0,aia94,raw,0.30678466796875,0.0,819200,819200
0,aia94,frozen_preprocessed,0.30678466796875,0.0,819200,819200
1,aia131,raw,0.155458984375,0.0,819200,819200
1,aia131,frozen_preprocessed,0.155458984375,0.0,819200,819200
2,aia171,raw,0.009804687499999964,1.2480895077981245e-34,819200,819200
2,aia171,frozen_preprocessed,0.009804687499999964,1.2480895077981245e-34,819200,819200
3,aia193,raw,0.020784912109374998,3.814855755707258e-154,819200,819200
3,aia193,frozen_preprocessed,0.020784912109374998,3.814855755707258e-154,819200,819200
4,aia211,raw,0.024633789062500022,2.3595035124277442e-216,819200,819200
4,aia211,frozen_preprocessed,0.024633789062500022,2.3595035124277442e-216,819200,819200
5,aia335,raw,0.16981323242187496,0.0,819200,819200
5,aia335,frozen_preprocessed,0.16981323242187496,0.0,819200,819200
