year,class,n,raw_logit_mean,raw_logit_std,raw_logit_q01,raw_logit_q25,raw_logit_q50,raw_logit_q75,raw_logit_q99,cal_prob_mean,cal_prob_q01,cal_prob_q25,cal_prob_q50,cal_prob_q75,cal_prob_q99,fraction_above_frozen_threshold
2021,all,5104,-1.0143494622097249,1.2688188962215496,-2.7378980660438548,-2.322956144809723,-1.0211902856826782,0.2088119015097618,0.9932120037078858,0.017785261852147936,0.005098873003707441,0.0064897702197654755,0.0137902679102478,0.0279021381595802,0.043432919738794755,0.21003134796238246
2021,negative,4978,-1.027831983452086,1.2704160126336854,-2.7380937075614926,-2.337387800216675,-1.0528743267059326,0.1978649944067001,0.9934648913145064,0.01767058534024673,0.005098292793877639,0.006435591850725675,0.013540583201946399,0.027729061267197475,0.04343906313142213,0.20751305745279228
2021,positive,126,-0.4816828689996212,1.0807709955656912,-2.449942708015442,-1.3208558857440948,-0.48693621158599854,0.47183965891599655,0.9827654510736465,0.022315894203292223,0.00602926211995195,0.01160533176966555,0.018752056154466998,0.0323903843661342,0.043180181876898927,0.30952380952380953
2022,all,9999,-0.6530325904837658,1.3138774806100288,-2.715350179672241,-1.9807710647583003,-0.4807359874248504,0.6780893206596375,1.015508646965027,0.02184790726713185,0.0051661879797300055,0.007915780279085901,0.0188185321417521,0.03639051604955445,0.04397776809558662,0.34483448344834483
2022,negative,9880,-0.6587967096117178,1.3158253614425663,-2.7155139350891115,-1.9906767606735232,-0.4954223334789276,0.6766181290149689,1.0154614889621734,0.02179903993173446,0.005165695931039284,0.00787042669327635,0.0186606375627337,0.036360365118965024,0.043976608877932324,0.34423076923076923
2022,positive,119,-0.17446538893615499,1.0384167847827055,-2.5072894430160524,-0.7289407849311829,0.0315844342112541,0.734370231628418,1.0155997371673584,0.02590512805474706,0.005831376053132004,0.016318171211367152,0.0252249332414358,0.0375625037677643,0.04398000822597248,0.3949579831932773
2023,all,12392,-0.38506041455645956,1.2207967548481538,-2.6978628849983215,-1.3919425010681152,-0.00978465937077995,0.7402496486902237,1.0077010321617126,0.024327860154632844,0.005219003029433987,0.011132674607107875,0.024636975745513802,0.037686647746312155,0.043786240679971236,0.4034861200774693
2023,negative,12114,-0.40169061606481427,1.224512752363621,-2.69945876121521,-1.4168536067008972,-0.03783886879682535,0.7326480746269226,1.0080692327022553,0.024146151392107906,0.0052141610653154155,0.010973467868689999,0.02424587948355185,0.037525794170600146,0.043795255042932905,0.3979692917285785
2023,positive,278,0.33960958930040647,0.7478170589057295,-2.5307733535766603,0.0072587486356496,0.6417631208896637,0.8962185233831406,1.0008770823478697,0.0322459175259535,0.0057520117751430015,0.024877569276010952,0.0356530340118276,0.041136895115462375,0.04361949554202211,0.6438848920863309
2024,all,12553,-0.5268126908310768,1.2921336283653886,-2.7067037868499755,-1.75406813621521,-0.2533210813999176,0.7371292114257812,1.014673366546631,0.023144065374480917,0.005192234991454916,0.0090275827509162,0.0214373256025196,0.0376205375288898,0.043957239854005695,0.3803871584481797
2024,negative,11237,-0.6297558908434225,1.2930526630163262,-2.7105980110168457,-1.9004795551300049,-0.476082295179367,0.6583104133605957,1.0088305568695068,0.021957186639771156,0.005180487751213416,0.0082930872571567,0.018868837787244,0.0359871680628515,0.04381389958045567,0.34279611996084364
2024,positive,1316,0.3521939493959209,0.8870070625100812,-2.4495542526245115,0.14282874017953873,0.7772150635719299,0.9357321411371231,1.0221042215824128,0.0332785306799016,0.006029543940489815,0.026874588011333078,0.03847834692238675,0.042057890528958024,0.04414018565854639,0.7013677811550152
2025,all,9281,-2.236285797054888,0.7703224951641627,-2.7053507804870605,-2.599382162094116,-2.5330755710601807,-2.418373346328736,0.7701744794845603,0.007874967175195167,0.00519632268390006,0.0055266200778992,0.0057438278799802,0.0061397938912733,0.038326342203655446,0.028229716625363645
2025,negative,8769,-2.2585438077782727,0.7634957182500038,-2.7064656162261964,-2.6021158695220947,-2.5372674465179443,-2.435952425003052,0.7817653179168694,0.007775799699364676,0.0051929543696338605,0.0055178424555293,0.0057298481952749,0.0060773934285642,0.03857690242384427,0.02942182689018132
2025,positive,512,-1.8550738907397317,0.7874749815012446,-2.6466884565353395,-2.5101406574249268,-2.1531087160110474,-1.3375811576843262,0.30346039235591843,0.009573403885268538,0.005376666906875102,0.005820917076866175,0.00716251656219755,0.01148807317788345,0.029443422465702144,0.0078125
