reference_year,comparison_year,class,variable,ks_statistic,p_value,n_2024,n_2025
2024,2025,all,raw_logit,0.6454810764088527,0.0,12553,9281
2024,2025,positive,raw_logit,0.768806990881459,2.0024772404949205e-217,1316,512
2024,2025,negative,raw_logit,0.6522936051403827,0.0,11237,8769
2024,2025,all,calibrated_probability,0.6454810764088527,0.0,12553,9281
2024,2025,positive,calibrated_probability,0.768806990881459,2.0024772404949205e-217,1316,512
2024,2025,negative,calibrated_probability,0.6522936051403827,0.0,11237,8769
