year,y_true,n,q01,q05,q10,q25,q50,q75,q90,q95,q99
2021,0,4978,0.005098292793877639,0.0052343805812792195,0.00539661067980935,0.006435591850725675,0.013540583201946399,0.027729061267197475,0.03705242588061071,0.040399861685426953,0.04343906313142213
2021,1,126,0.00602926211995195,0.006604923880095025,0.0072899158086220505,0.01160533176966555,0.018752056154466998,0.0323903843661342,0.04158393418714075,0.04231359173544165,0.043180181876898927
2022,0,9880,0.005165695931039284,0.005389863745445435,0.00571370625922673,0.00787042669327635,0.0186606375627337,0.036360365118965024,0.04172694702131511,0.04297680867117979,0.043976608877932324
2022,1,119,0.005831376053132004,0.00631109763537572,0.009110433717507681,0.016318171211367152,0.0252249332414358,0.0375625037677643,0.0418960339031696,0.04393448137479099,0.04398000822597248
2023,0,12114,0.0052141610653154155,0.0056106996062134555,0.00613781438781539,0.010973467868689999,0.02424587948355185,0.037525794170600146,0.04169386034517721,0.04279958480802725,0.043795255042932905
2023,1,278,0.0057520117751430015,0.011580572895291266,0.01651088189647937,0.024877569276010952,0.0356530340118276,0.041136895115462375,0.042408125222459285,0.0431056116503359,0.04361949554202211
2024,0,11237,0.005180487751213416,0.00545022000468046,0.00573027737038074,0.0082930872571567,0.018868837787244,0.0359871680628515,0.04169279695967252,0.042894899970312476,0.04381389958045567
2024,1,1316,0.006029543940489815,0.00939128567353605,0.01239024598573735,0.026874588011333078,0.03847834692238675,0.042057890528958024,0.0434893285007492,0.043939577528437176,0.04414018565854639
2025,0,8769,0.0051929543696338605,0.005299006932108261,0.00537115122869982,0.0055178424555293,0.0057298481952749,0.0060773934285642,0.012047531349678656,0.021813932687483717,0.03857690242384427
2025,1,512,0.005376666906875102,0.00549006117160463,0.00557772547826166,0.005820917076866175,0.00716251656219755,0.01148807317788345,0.016914108245399725,0.021258555480510293,0.029443422465702144
