recovery_class,block_id,HARPNUM,start,end,n_targets,recovery_group_id
block_download_or_coverage,2026_HARP14277_20260113_1036_20260114_0548,14277,2026-01-13 10:36:00,2026-01-14 05:48:00,13,block_download_or_coverage__2026_HARP14277_20260113_1036_20260114_0548
crop_patch_boundary,2026_HARP14305_20260125_1000_20260125_1624,14305,2026-01-25 11:36:00,2026-01-25 16:24:00,4,crop_patch_boundary__2026_HARP14305_20260125_1000_20260125_1624
