fold_id,train_rows,val_rows,test_rows,train_positives,val_positives,test_positives,test_positive_rate,selected_threshold,val_tss,test_roc_auc,test_pr_auc,test_precision,test_recall,test_specificity,false_alarm_rate,miss_rate,test_f1,test_tss,test_hss,test_tp,test_tn,test_fp,test_fn,diagnostic_test_best_threshold,diagnostic_test_best_tss,diagnostic_minus_official_tss
test_2013,8240,5442,7113,245,72,265,0.037255728946998454,0.165,0.7127094972067038,0.9683736333979898,0.5931488304477722,0.3338345864661654,0.8377358490566038,0.9353095794392524,0.06469042056074759,0.1622641509433962,0.4774193548387097,0.7730454284958561,0.448009465656656,222,6405,443,43,0.0925,0.8357967069299947,0.06275127843413864
test_2014,13682,7113,5957,317,265,194,0.03256672821890213,0.0875,0.8569244842179509,0.8480915402380274,0.2390146659345615,0.1461318051575931,0.5257731958762887,0.8965816415061599,0.10341835849384007,0.4742268041237113,0.2286995515695067,0.4223548373824486,0.1872769601135872,102,5167,596,92,0.0125,0.604463955092118,0.18210911770966942
test_2015,20795,5957,5738,582,194,278,0.04844893691181596,0.0175,0.6314714737277085,0.9345386328299996,0.3672380413408542,0.1955521472392638,0.9172661870503596,0.8078754578754579,0.1921245421245421,0.08273381294964044,0.3223767383059418,0.7251416449258175,0.263556792392019,255,4411,1049,23,0.0275,0.750811658365615,0.02567001343979758
