fold_id,feature,importance,is_history_count,stat_type
test_2013,sharp_24h_USFLUX_last,0.018129667761645863,False,last
test_2013,sharp_24h_USFLUX_mean,0.006052636263002022,False,mean
test_2013,sharp_24h_USFLUX_std,0.0011363027322638527,False,std
test_2013,sharp_24h_USFLUX_min,0.006218662559621804,False,min
test_2013,sharp_24h_USFLUX_max,0.011674983537621798,False,max
test_2013,sharp_24h_USFLUX_delta,0.005112320071922523,False,delta
test_2013,sharp_24h_TOTPOT_last,0.00624950316075261,False,last
test_2013,sharp_24h_TOTPOT_mean,0.002902888144851669,False,mean
test_2013,sharp_24h_TOTPOT_std,0.011067149358143357,False,std
test_2013,sharp_24h_TOTPOT_min,0.004646022314511247,False,min
test_2013,sharp_24h_TOTPOT_max,0.05164493979640588,False,max
test_2013,sharp_24h_TOTPOT_delta,0.00676338471381596,False,delta
test_2013,sharp_24h_history_count,0.0,True,count
test_2014,sharp_24h_MEANGBZ_last,0.002194396763706333,False,last
test_2014,sharp_24h_MEANGBZ_mean,0.00419578223840172,False,mean
test_2014,sharp_24h_MEANGBZ_std,0.0025778554377264605,False,std
test_2014,sharp_24h_MEANGBZ_min,0.003628267837147341,False,min
test_2014,sharp_24h_MEANGBZ_max,0.0012382220390727288,False,max
test_2014,sharp_24h_MEANGBZ_delta,0.0008686802064203392,False,delta
test_2014,sharp_24h_MEANGAM_last,0.003377490697795537,False,last
test_2014,sharp_24h_MEANGAM_mean,0.0025421518629159434,False,mean
test_2014,sharp_24h_MEANGAM_std,0.0017779857740396715,False,std
test_2014,sharp_24h_MEANGAM_min,0.0014805861541713674,False,min
test_2014,sharp_24h_MEANGAM_max,0.0036820186901282822,False,max
test_2014,sharp_24h_MEANGAM_delta,0.0032889217745513846,False,delta
test_2014,sharp_24h_MEANGBT_last,0.0007669426221987165,False,last
test_2014,sharp_24h_MEANGBT_mean,0.0014754891291831854,False,mean
test_2014,sharp_24h_MEANGBT_std,0.0011456841539682655,False,std
test_2014,sharp_24h_MEANGBT_min,0.0026715496227054307,False,min
test_2014,sharp_24h_MEANGBT_max,0.000709281355051695,False,max
test_2014,sharp_24h_MEANGBT_delta,0.0022364425464637774,False,delta
test_2014,sharp_24h_MEANGBH_last,0.007183769801170158,False,last
test_2014,sharp_24h_MEANGBH_mean,0.014432502665559024,False,mean
test_2014,sharp_24h_MEANGBH_std,0.00315527884464196,False,std
test_2014,sharp_24h_MEANGBH_min,0.012529236412220184,False,min
test_2014,sharp_24h_MEANGBH_max,0.018950798632904105,False,max
test_2014,sharp_24h_MEANGBH_delta,0.0032057204733655417,False,delta
test_2014,sharp_24h_MEANJZD_last,0.0008626978042434445,False,last
test_2014,sharp_24h_MEANJZD_mean,0.005908716308127798,False,mean
test_2014,sharp_24h_MEANJZD_std,0.0008185978666406512,False,std
test_2014,sharp_24h_MEANJZD_min,0.003160829132240611,False,min
test_2014,sharp_24h_MEANJZD_max,0.005781867017509506,False,max
test_2014,sharp_24h_MEANJZD_delta,0.00037943802189097634,False,delta
test_2014,sharp_24h_TOTUSJZ_last,0.04640527871650781,False,last
test_2014,sharp_24h_TOTUSJZ_mean,0.033406886212520026,False,mean
test_2014,sharp_24h_TOTUSJZ_std,0.005651424230260096,False,std
test_2014,sharp_24h_TOTUSJZ_min,0.02789145788433932,False,min
test_2014,sharp_24h_TOTUSJZ_max,0.06522008073656146,False,max
test_2014,sharp_24h_TOTUSJZ_delta,0.005930248729816392,False,delta
test_2014,sharp_24h_MEANALP_last,0.0024181899775309328,False,last
test_2014,sharp_24h_MEANALP_mean,0.003808157446948657,False,mean
test_2014,sharp_24h_MEANALP_std,0.00510516048286216,False,std
test_2014,sharp_24h_MEANALP_min,0.0052601300228873014,False,min
test_2014,sharp_24h_MEANALP_max,0.004269682814015539,False,max
test_2014,sharp_24h_MEANALP_delta,0.0009507929504867114,False,delta
test_2014,sharp_24h_MEANJZH_last,0.002843978233620889,False,last
test_2014,sharp_24h_MEANJZH_mean,0.0037307384928387225,False,mean
test_2014,sharp_24h_MEANJZH_std,0.0026591132199452537,False,std
test_2014,sharp_24h_MEANJZH_min,0.007729762553843401,False,min
test_2014,sharp_24h_MEANJZH_max,0.005148205415366946,False,max
test_2014,sharp_24h_MEANJZH_delta,0.0007784633969473299,False,delta
test_2014,sharp_24h_ABSNJZH_last,0.003225313012167669,False,last
test_2014,sharp_24h_ABSNJZH_mean,0.0034062851726138006,False,mean
test_2014,sharp_24h_ABSNJZH_std,0.02009825425417768,False,std
test_2014,sharp_24h_ABSNJZH_min,0.004380632989420275,False,min
test_2014,sharp_24h_ABSNJZH_max,0.011696124421010807,False,max
test_2014,sharp_24h_ABSNJZH_delta,0.0022595406975825976,False,delta
test_2014,sharp_24h_SAVNCPP_last,0.024491865098243824,False,last
test_2014,sharp_24h_SAVNCPP_mean,0.03964718429954602,False,mean
test_2014,sharp_24h_SAVNCPP_std,0.017503914845703676,False,std
test_2014,sharp_24h_SAVNCPP_min,0.008823448798909507,False,min
test_2014,sharp_24h_SAVNCPP_max,0.0641098077997214,False,max
test_2014,sharp_24h_SAVNCPP_delta,0.0036233207911879183,False,delta
test_2014,sharp_24h_MEANSHR_last,0.006782465219573856,False,last
test_2014,sharp_24h_MEANSHR_mean,0.004932470194146049,False,mean
test_2014,sharp_24h_MEANSHR_std,0.0008731340176174368,False,std
test_2014,sharp_24h_MEANSHR_min,0.003605137178610261,False,min
test_2014,sharp_24h_MEANSHR_max,0.010921043527311224,False,max
test_2014,sharp_24h_MEANSHR_delta,0.002206384191561036,False,delta
test_2014,sharp_24h_SHRGT45_last,0.00941154713536162,False,last
test_2014,sharp_24h_SHRGT45_mean,0.008907005160801257,False,mean
test_2014,sharp_24h_SHRGT45_std,0.000776186217523051,False,std
test_2014,sharp_24h_SHRGT45_min,0.0040724994363286835,False,min
test_2014,sharp_24h_SHRGT45_max,0.007607470049551097,False,max
test_2014,sharp_24h_SHRGT45_delta,0.0037305846064825824,False,delta
test_2014,sharp_24h_R_VALUE_last,0.0708389579952742,False,last
test_2014,sharp_24h_R_VALUE_mean,0.025383333130954956,False,mean
test_2014,sharp_24h_R_VALUE_std,0.0026905189293619848,False,std
test_2014,sharp_24h_R_VALUE_min,0.0260242351857023,False,min
test_2014,sharp_24h_R_VALUE_max,0.07452392802947438,False,max
test_2014,sharp_24h_R_VALUE_delta,0.0013765909835795269,False,delta
test_2014,sharp_24h_USFLUX_last,0.025483387578735483,False,last
test_2014,sharp_24h_USFLUX_mean,0.007813909128830818,False,mean
test_2014,sharp_24h_USFLUX_std,0.003873843734283559,False,std
test_2014,sharp_24h_USFLUX_min,0.0034970113383655465,False,min
test_2014,sharp_24h_USFLUX_max,0.013122935063027032,False,max
test_2014,sharp_24h_USFLUX_delta,0.004632573202298907,False,delta
test_2014,sharp_24h_TOTPOT_last,0.03268873551947754,False,last
test_2014,sharp_24h_TOTPOT_mean,0.006860691158548432,False,mean
test_2014,sharp_24h_TOTPOT_std,0.009097561178874631,False,std
test_2014,sharp_24h_TOTPOT_min,0.0037179694955504685,False,min
test_2014,sharp_24h_TOTPOT_max,0.066491902871954,False,max
test_2014,sharp_24h_TOTPOT_delta,0.00935534295709189,False,delta
test_2014,sharp_24h_history_count,0.0,True,count
test_2015,sharp_24h_MEANGBZ_last,0.0013625870881309927,False,last
test_2015,sharp_24h_MEANGBZ_mean,0.0050105316447933024,False,mean
test_2015,sharp_24h_MEANGBZ_std,0.0008715660958716264,False,std
test_2015,sharp_24h_MEANGBZ_min,0.0022911705368019166,False,min
test_2015,sharp_24h_MEANGBZ_max,0.0024934548852336928,False,max
test_2015,sharp_24h_MEANGBZ_delta,0.0005620674230901328,False,delta
test_2015,sharp_24h_MEANGAM_last,0.0021457720360437116,False,last
test_2015,sharp_24h_MEANGAM_mean,0.0013699510812142431,False,mean
test_2015,sharp_24h_MEANGAM_std,0.0029016192599586235,False,std
test_2015,sharp_24h_MEANGAM_min,0.0015267029933524045,False,min
test_2015,sharp_24h_MEANGAM_max,0.0032304776783762712,False,max
test_2015,sharp_24h_MEANGAM_delta,0.002880415938114701,False,delta
test_2015,sharp_24h_MEANGBT_last,0.0013415949853165356,False,last
test_2015,sharp_24h_MEANGBT_mean,0.004486269464234258,False,mean
test_2015,sharp_24h_MEANGBT_std,0.0017262298647989767,False,std
test_2015,sharp_24h_MEANGBT_min,0.0025970165354324277,False,min
test_2015,sharp_24h_MEANGBT_max,0.002037446941851935,False,max
test_2015,sharp_24h_MEANGBT_delta,0.000971639722766097,False,delta
test_2015,sharp_24h_MEANGBH_last,0.005069307144292356,False,last
test_2015,sharp_24h_MEANGBH_mean,0.009264330112011495,False,mean
test_2015,sharp_24h_MEANGBH_std,0.0024987780185781136,False,std
