fold_id,n_configs,mean_test_tss,std_test_tss,mean_recall,mean_specificity,mean_false_alarm_rate,mean_miss_rate,mean_fp_per_tp,mean_fn_per_tp,test_positive_rate
test_2014,4,0.0038499999999999975,0.06453632052314934,0.3287,0.675125,0.3248545190034552,0.6713036565977742,16.851629969741733,2.212827887490452,0.05409821966113357
test_2013,4,0.1865,0.051243341030811004,0.665125,0.521375,0.47864641323365675,0.33485772357723576,18.463325825396268,0.5458389132630421,0.037654982397061075
test_2015,4,0.374475,0.07265211054516357,0.81355,0.560875,0.4390938813638487,0.1864406779661017,10.919839284242663,0.24688740816978483,0.04725881096475614
