experiment,modality,goes_usage,solar_cycle_scope,feature_view,model_name,fold_id,train_years,val_years,test_years,n_features,train_rows,val_rows,test_rows,train_positives,val_positives,test_positives,selected_threshold,diagnostic_test_best_threshold,diagnostic_test_best_tss,val_roc_auc,val_pr_auc,val_brier,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_tss,val_hss,val_tp,val_tn,val_fp,val_fn,test_roc_auc,test_pr_auc,test_brier,test_threshold,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_tss,test_hss,test_tp,test_tn,test_fp,test_fn
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_available_preferred,logistic_regression_balanced,test_2013,"2010,2011",2012,2013,15,14448,10815,13066,433,305,492,0.1375,0.1825,0.7219378353319081,0.8486958556253997,0.3016117258696411,0.1075365974155425,0.1375,0.6878409616273694,0.07477153143173636,0.8852459016393442,0.6821122740247384,0.13789581205311544,0.5673581756640826,0.09059765876116439,270,7169,3341,35,0.9264395429464078,0.3704553426643156,0.08305527646744652,0.1375,0.7233277208020817,0.11830848203373258,0.983739837398374,0.713138221727374,0.21121536111717215,0.696878059125748,0.1543675556477133,484,8967,3607,8
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_available_preferred,random_forest_balanced,test_2013,"2010,2011",2012,2013,15,14448,10815,13066,433,305,492,0.10250000000000001,0.1,0.7064933318332707,0.8288264104443854,0.13582563589032273,0.03712556073783835,0.10250000000000001,0.8466944059177068,0.12353923205342238,0.7278688524590164,0.8501427212178877,0.21122740247383445,0.5780115736769043,0.17126666592719125,222,8935,1575,83,0.9215657130923146,0.4439865294714154,0.031022498537722692,0.10250000000000001,0.869279044849227,0.20078740157480315,0.8292682926829268,0.8708445999681883,0.3232963549920761,0.7001128926511151,0.2796197797379239,408,10950,1624,84
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_available_preferred,logistic_regression_balanced,test_2014,"2010,2011,2012",2013,2014,15,25263,13066,11627,738,492,629,0.4275,0.58,0.5673226899760067,0.9179080978816786,0.385170218510062,0.11491634166158497,0.4275,0.7992499617327414,0.14328757951121526,0.8699186991869918,0.7964848099252425,0.24604771486059213,0.6664035091122344,0.19392735295281185,428,10015,2559,64,0.8538823795394509,0.4539408672221659,0.12933319537209695,0.4275,0.7831770878128494,0.16736990154711673,0.7567567567567568,0.784688125113657,0.2741145983299741,0.5414448818704138,0.20354832057837743,476,8630,2368,153
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_available_preferred,random_forest_balanced,test_2014,"2010,2011,2012",2013,2014,15,25263,13066,11627,738,492,629,0.1525,0.0975,0.6487538852995676,0.9187470338199485,0.4175141857015797,0.036325970425914886,0.1525,0.8636154905862544,0.19604147031102734,0.8455284552845529,0.8643232066168284,0.3182861514919663,0.7098516619013813,0.2738955163018225,416,10868,1706,76,0.8944037664313008,0.3479832088430056,0.04933360128890211,0.1525,0.8526705082996474,0.23088381330685204,0.739268680445151,0.85915621022004,0.3518728717366629,0.598424890665191,0.29363515372040744,465,9449,1549,164
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_available_preferred,logistic_regression_balanced,test_2015,"2010,2011,2012,2013",2014,2015,15,38329,11627,11236,1230,629,531,0.4975,0.5425,0.8094045850408711,0.9102410873374578,0.45298695493102215,0.12026725703571767,0.4975,0.8395974886041111,0.23269896193771628,0.8553259141494436,0.8386979450809238,0.365861951717103,0.6940238592303674,0.3069104126056114,538,9224,1774,91,0.9586985682632417,0.6251982924147732,0.08081239436643615,0.4975,0.894001423994304,0.29679802955665024,0.9077212806026366,0.8933208780943485,0.44733178654292344,0.8010421586969851,0.40494729575827926,482,9563,1142,49
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_available_preferred,random_forest_balanced,test_2015,"2010,2011,2012,2013",2014,2015,15,38329,11627,11236,1230,629,531,0.075,0.17250000000000001,0.7983218852446758,0.8962252422828142,0.3185506083147949,0.05423886222738066,0.075,0.7708781284940225,0.18213058419243985,0.9268680445151033,0.7619567194035279,0.3044386422976501,0.6888247639186313,0.2352877276608318,583,8380,2618,46,0.949179018551797,0.5121330041807284,0.03462901947741192,0.075,0.8398896404414382,0.21922054915854738,0.9322033898305084,0.8353106025221859,0.3549659376120473,0.7675139923526944,0.3015163372819325,495,8942,1763,36
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_plus_optional,logistic_regression_balanced,test_2013,"2010,2011",2012,2013,17,14448,10815,13066,433,305,492,0.1125,0.1775,0.7421644353233734,0.8458735630391041,0.3074897223508077,0.0984717397208653,0.1125,0.6954230235783634,0.07385229540918163,0.8491803278688524,0.6909609895337774,0.13588667366211962,0.5401413174026297,0.08859351746887945,259,7262,3248,46,0.9278254845137921,0.36526641400655907,0.07569301213537112,0.1125,0.7243992040410225,0.11852760736196319,0.9817073170731707,0.7143311595355496,0.21151740748850448,0.6960384766087202,0.15471703794334374,483,8982,3592,9
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_plus_optional,random_forest_balanced,test_2013,"2010,2011",2012,2013,17,14448,10815,13066,433,305,492,0.0375,0.075,0.7434149186409948,0.8192040367487637,0.12012456052526424,0.038359438523730555,0.0375,0.7664355062413315,0.08794063079777366,0.7770491803278688,0.766127497621313,0.158,0.543176677949182,0.11305978205288456,237,8052,2458,68,0.9252617189166962,0.4133057455480653,0.030995030075189226,0.0375,0.7876167151385275,0.14383775351014041,0.9369918699186992,0.7817719102910768,0.2493913984311604,0.7187637802097759,0.19696300096196603,461,9830,2744,31
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_plus_optional,logistic_regression_balanced,test_2014,"2010,2011,2012",2013,2014,17,25263,13066,11627,738,492,629,0.4425,0.6,0.5889684813339382,0.9242773835802619,0.38619508706924616,0.10851768773184527,0.4425,0.8262666462574622,0.16120426829268292,0.8597560975609756,0.8249562589470336,0.27150192554557123,0.6847123565080091,0.22217297761124358,423,10373,2201,69,0.8299041797164451,0.46707337248507097,0.11777526240984419,0.4425,0.8223101401909348,0.19874213836477989,0.753577106518283,0.8262411347517731,0.31453218314532183,0.5798182412700561,0.2503496502623563,474,9087,1911,155
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,snapshot_plus_optional,random_forest_balanced,test_2014,"2010,2011,2012",2013,2014,17,25263,13066,11627,738,492,629,0.13,0.10250000000000001,0.5172611236441025,0.9292564441271898,0.4232930659713195,0.032202128870667805,0.13,0.8796112046532987,0.218928757150286,0.8556910569105691,0.8805471608080165,0.3486542443064182,0.7362382177185856,0.30710307726093294,421,11072,1502,71,0.8430627363668663,0.34538583600956974,0.046940471785534746,0.13,0.8792465812333362,0.2508038585209003,0.6200317965023847,0.8940716493907983,0.35714285714285715,0.514103445893183,0.30348662283488226,390,9833,1165,239
