branch,candidate_name,status,solar_cycle_scope,goes_usage,n_folds,mean_test_tss,std_test_tss,mean_test_hss,mean_test_roc_auc,mean_test_pr_auc,coverage_note,paper_role
AIA_only,ResNet18 physics-safe full-natural multifold,completed,Solar_Cycle_24_only,label_lineage_only,3.0,0.2339,0.2227168381600278,0.0429333333333333,0.6348,0.0691666666666666,AIA full-natural fold-specific image baseline.,image_branch_baseline
AIA_only,ResNet18 HP selected: higher_dropout,completed,Solar_Cycle_24_only,label_lineage_only,,0.1819,0.1409,0.0398,0.6311,0.0802,AIA-only hyperparameter sensitivity; selected by validation TSS.,image_branch_sensitivity
SHARP_only,random_forest_balanced + temporal_24h_available_preferred,completed_audited,Solar_Cycle_24_only,label_lineage_only_no_goes_input_features,3.0,0.6401806369347074,0.1901571779686922,0.2996144060540874,0.9170012688220056,0.3998005125743959,24h temporal view is strong but coverage-limited; audit found no obvious leakage shortcut.,magnetic_branch_baseline
SHARP_only_conservative,Random Forest 24h temporal without history_count,completed_audited_ablation,Solar_Cycle_24_only,label_lineage_only_no_goes_input_features,3.0,0.633027771199086,0.2052406048964323,0.308124218288863,0.9159209289956952,0.394169818922246,Conservative ablation confirms performance is not driven by history_count.,conservative_magnetic_branch_reference
AIA_SHARP_fusion,aia_resnet18_sharp24h_intermediate_fusion_cycle24_fullnatural_allfold_fusion_test_2013,completed_gpu_run,Solar_Cycle_24_only,label_lineage_only_no_goes_input_features,1.0,0.473519944551152,,0.12322088346078064,0.8218661709163745,0.35017133422541924,Intermediate fusion run. Compare fold-wise against matching AIA and SHARP branch baselines.,fusion_candidate
AIA_SHARP_fusion,aia_resnet18_sharp24h_intermediate_fusion_cycle24_fullnatural_allfold_fusion_test_2014,completed_gpu_run,Solar_Cycle_24_only,label_lineage_only_no_goes_input_features,1.0,0.5264619304408056,,0.2307608381618772,0.8241225737561635,0.38214504238821767,Intermediate fusion run. Compare fold-wise against matching AIA and SHARP branch baselines.,fusion_candidate
AIA_SHARP_fusion,aia_resnet18_sharp24h_intermediate_fusion_cycle24_fullnatural_allfold_fusion_test_2015,completed_gpu_run,Solar_Cycle_24_only,label_lineage_only_no_goes_input_features,1.0,0.8204322588567456,,0.43875257429430226,0.9548826317521019,0.672201760924349,Intermediate fusion run. Compare fold-wise against matching AIA and SHARP branch baselines.,fusion_candidate
