fold_id,epoch,train_loss,selected_threshold,val_tss,val_hss,val_f1,val_recall,val_specificity,val_roc_auc,val_pr_auc,seconds
fusion_test_2013,1,0.8511328807324609,0.7625000000000001,0.2496144484518812,0.11478763977924213,0.1503267973856209,0.3317307692307692,0.9178836792211119,0.6854004069847651,0.08419053055631485,635.4192998409271
fusion_test_2013,2,0.4589207060853582,0.58,0.44110546128224826,0.07606689340874315,0.11998378597486827,0.7115384615384616,0.7295669997437868,0.7769710553026271,0.2426385916919772,596.266613483429
fusion_test_2013,3,0.3089680266498296,0.3825,0.46449846272098383,0.18024632818807249,0.21467889908256882,0.5625,0.9019984627209838,0.7921673909615877,0.23031917636740065,589.5809855461121
fusion_test_2013,4,0.2806877035352666,0.095,0.5190152052661661,0.08047523955216049,0.12459016393442623,0.8221153846153846,0.6968998206507815,0.838899194899387,0.23752804826520751,587.1692712306976
fusion_test_2013,5,0.1915723103401729,0.01,0.536518999191943,0.06613101976465101,0.11168981481481481,0.9278846153846154,0.6086343838073277,0.8611546345020595,0.24877220797169008,588.0310537815094
fusion_test_2013,6,0.1824624096821786,0.015,0.5744693431088512,0.0869290729200247,0.1308211873444721,0.8846153846153846,0.6898539584934665,0.8787372632491772,0.2599973336963844,594.9065585136414
fusion_test_2013,7,0.20748969782799306,0.34,0.49141562703246033,0.20090647449407392,0.23404255319148937,0.5817307692307693,0.9096848578016911,0.8211610521492343,0.2835944330505644,597.7721219062805
fusion_test_2013,8,0.13963220311367006,0.1125,0.4385310116478449,0.18119212416604977,0.21505376344086022,0.5288461538461539,0.9096848578016911,0.8191319793452769,0.24527514750076884,595.3980388641357
fusion_test_2014,1,0.9007520884461249,0.51,0.4329180543563176,0.1264691031998212,0.18231611893583724,0.6418732782369146,0.7910447761194029,0.7861192855087019,0.2865123077084014,914.8968584537506
fusion_test_2014,2,0.513405605535716,0.3275,0.4247766480466617,0.1703473564894904,0.22006472491909385,0.5619834710743802,0.8627931769722814,0.7576198112154693,0.26498515544991574,897.4920711517334
fusion_test_2014,3,0.3696383062451306,0.1475,0.31065246377322353,0.09927657591907652,0.155955441302485,0.5013774104683195,0.809275053304904,0.6768486375677691,0.23331714705722661,901.0601592063904
fusion_test_2014,4,0.2896285097174875,0.2025,0.3942345533254623,0.18853308396807616,0.23483870967741935,0.5013774104683195,0.8928571428571429,0.7248139467949508,0.26064220978341535,900.1995799541473
fusion_test_2015,1,0.8794423439934829,0.735,0.7114470472798033,0.44003661749696715,0.4810951760104302,0.7952586206896551,0.9161884265901482,0.919470915994657,0.4409808749134502,1196.7222001552582
fusion_test_2015,2,0.5777578936196075,0.685,0.7299520523095697,0.3577849189345116,0.40923076923076923,0.8599137931034483,0.8700382592061214,0.9317142226949654,0.407638147275805,1182.7771928310394
fusion_test_2015,3,0.4619591170925495,0.17,0.6859787018255579,0.2669741739602374,0.32955465587044536,0.8771551724137931,0.8088235294117647,0.9188432258942266,0.4025580210798939,1171.9322793483734
fusion_test_2015,4,0.39124465997885466,0.2525,0.6005252395323142,0.3003398542951387,0.35602094240837695,0.7327586206896551,0.867766618842659,0.884785369151866,0.37168674248117217,1169.7163434028625
fusion_test_2015,5,0.32280841406717137,0.0575,0.5528908788073683,0.2638896404617532,0.32335329341317365,0.6982758620689655,0.8546150167384027,0.8422565304507,0.3147234537083806,1175.545325756073
