epoch,train_loss,roc_auc,pr_auc,brier,log_loss,lr,seconds
1,1.2274899910674828,0.8091919391132645,0.03131080810291568,0.12074100839507947,0.36507204484252986,0.0003,5369.913050889969
2,1.143127722728297,0.8287144734309619,0.03695995400882792,0.1443672924090125,0.42090859661463625,0.0003,5268.476179361343
3,1.0850039951700774,0.7914420204967602,0.02234567114576185,0.1413085319365461,0.4065226488191557,0.0003,5188.5885417461395
4,1.0528937636761453,0.7450617445294847,0.019392680572747144,0.1714345389152814,0.47566345361320633,0.0003,5191.384891986847
5,1.021445651773116,0.7126913106188233,0.01896782991373463,0.06758232101804751,0.20760812029301035,0.00015,5123.036280632019
6,0.9643736598627823,0.765860277012786,0.023570623113783568,0.14729872373596412,0.41593381982798766,0.00015,5147.13571023941
