year,targets,positives,regions,frame_references,unique_objects,mean_reuse,cache_dir
2021,5104,126,103,15312,5516,2.775924583031182,/mnt/disks/aia-cache/cycle25_yearwise/2021
2022,9999,119,190,29997,10913,2.7487400348208557,/mnt/disks/aia-cache/cycle25_yearwise/2022
2023,12392,278,225,37176,13566,2.7403803626713845,/mnt/disks/aia-cache/cycle25_yearwise/2023
2024,12553,1316,232,37659,13831,2.7227966162967245,/mnt/disks/aia-cache/cycle25_yearwise/2024
2025,9281,512,240,27843,10879,2.5593344976560344,/mnt/disks/aia-cache/cycle25_yearwise/2025
