lookback_hours,expected_steps,rows,mean_history_count,median_history_count,rows_meeting_min_history,coverage_rate,positive_coverage_rate,negative_coverage_rate
6,4,68010,3.853550948389943,4.0,62287,0.9158506102043817,0.9115929941618015,0.9160062183746875
12,8,68010,7.390692545213939,8.0,54766,0.805263931774739,0.7919099249374478,0.8057519965859904
24,16,68010,13.568945743273048,16.0,35757,0.5257609175121306,0.4462051709758132,0.5286685362433701
48,31,68010,22.78833995000735,27.0,19824,0.2914865460961623,0.26230191826522103,0.2925531914893617
