model,n,positives,prevalence,roc_auc,pr_auc,brier,log_loss,threshold,tn,fp,fn,tp,tss,hss,precision,recall,f1
logistic_regression,45433,2159,0.04752052472872141,0.8721898717786165,0.2835623542144311,0.045350548692520504,0.165765738347856,0.023132347367379614,31424,11850,262,1897,0.6048110382000298,0.17038088197832457,0.13799374408961956,0.8786475220009263,0.2385263422607821
random_forest,45433,2159,0.04752052472872141,0.87408663641482,0.21730539807654006,0.040792278683148185,0.15173638495878938,0.08272120160111422,38601,4673,833,1326,0.5061869086163647,0.2743661364978276,0.22103683947324554,0.6141732283464567,0.3250796763912724
